wavenumber,k1,k2,k3
360.63,0.78633,0.29176,2.1051
362.56,0.87736,0.2753,2.2261
364.49,0.96444,0.25545,2.4432
366.41,1.0421,0.23516,2.7177
368.34,1.1208,0.21698,2.9165
370.27,1.2115,0.20258,2.9332
372.2,1.3192,0.19273,2.7905
374.13,1.4438,0.18755,2.5768
376.06,1.5815,0.18655,2.3701
377.99,1.7236,0.18853,2.2248
379.91,1.8567,0.1921,2.1769
381.84,1.9643,0.19712,2.2398
383.77,2.0387,0.20506,2.3842
385.7,2.0889,0.21763,2.5262
387.63,2.1046,0.23571,2.594
389.56,2.0723,0.25894,2.5716
391.49,1.9968,0.28518,2.4889
393.41,1.8949,0.30943,2.3873
395.34,1.7908,0.3241,2.2914
397.27,1.7048,0.32317,2.208
399.2,1.636,0.308,2.1396
401.13,1.5654,0.28602,2.088
403.06,1.4786,0.26426,2.0483
404.98,1.3808,0.24627,2.0055
406.91,1.2876,0.2328,1.9464
408.84,1.2115,0.22294,1.8692
410.77,1.1606,0.21513,1.7799
412.7,1.1385,0.2081,1.687
414.63,1.1449,0.20154,1.5996
416.56,1.1736,0.19594,1.5258
418.48,1.2117,0.19201,1.4719
420.41,1.2414,0.19009,1.4405
422.34,1.2467,0.19001,1.4274
424.27,1.2226,0.19117,1.4216
426.2,1.1755,0.19267,1.4094
428.13,1.1146,0.19354,1.3825
430.05,1.0451,0.19315,1.3406
431.98,0.96876,0.19148,1.2875
433.91,0.88574,0.18905,1.2274
435.84,0.79802,0.18661,1.1625
437.77,0.70975,0.18474,1.0933
439.7,0.62565,0.1837,1.02
441.63,0.54911,0.18346,0.94392
443.55,0.48177,0.18379,0.86749
445.48,0.42387,0.18439,0.79371
447.41,0.37485,0.18501,0.72551
449.34,0.33378,0.18548,0.66522
451.27,0.29957,0.18574,0.61424
453.2,0.27116,0.18581,0.57298
455.13,0.24757,0.18574,0.54106
457.05,0.22798,0.18555,0.51751
458.98,0.21166,0.18521,0.50101
460.91,0.19802,0.18465,0.48988
462.84,0.18658,0.18373,0.48215
464.77,0.17696,0.18233,0.4756
466.7,0.16886,0.18036,0.46793
468.62,0.16203,0.17784,0.45715
470.55,0.1563,0.17489,0.44196
472.48,0.15154,0.1717,0.42201
474.41,0.14763,0.16848,0.39797
476.34,0.14448,0.16542,0.37115
478.27,0.14203,0.16265,0.34314
480.2,0.1402,0.16027,0.31538
482.12,0.13895,0.15834,0.28896
484.05,0.13824,0.15689,0.26458
485.98,0.13804,0.15593,0.24255
487.91,0.13833,0.15546,0.22296
489.84,0.13911,0.15549,0.2057
491.77,0.14038,0.15602,0.19061
493.7,0.14214,0.15706,0.17746
495.62,0.14441,0.15862,0.16606
497.55,0.14724,0.16074,0.15619
499.48,0.15066,0.16343,0.14768
501.41,0.15475,0.16676,0.14038
503.34,0.15957,0.17077,0.13418
505.27,0.16525,0.17555,0.12896
507.19,0.17192,0.18122,0.12467
509.12,0.17975,0.1879,0.12124
511.05,0.18899,0.19579,0.11865
512.98,0.19994,0.20516,0.11689
514.91,0.21302,0.21637,0.11599
516.84,0.22876,0.22995,0.11601
518.77,0.2479,0.24669,0.11702
520.69,0.27146,0.26783,0.11916
522.62,0.30078,0.29533,0.12263
524.55,0.33776,0.33245,0.1277
526.48,0.38496,0.38474,0.13477
528.41,0.44588,0.4617,0.14439
530.34,0.52412,0.58002,0.15736
532.27,0.56541,0.82174,0.17482
534.19,0.50434,1.2708,0.19848
536.12,0.49998,1.7154,0.23093
538.05,0.52039,2.0059,0.27625
539.98,0.55918,2.0011,0.34133
541.91,0.61593,1.7551,0.43928
543.84,0.69298,1.3726,0.60073
545.76,0.79426,0.9767,0.78911
547.69,0.92319,0.74238,0.86912
549.62,1.0804,0.56903,0.94022
551.55,1.2708,0.44477,0.97142
553.48,1.5169,0.36124,0.93991
555.41,1.8535,0.30817,0.88039
557.34,2.3161,0.27821,0.83416
559.26,2.9295,0.26634,0.81443
561.19,3.6698,0.26732,0.81295
563.12,4.4023,0.27267,0.81162
565.05,4.9083,0.26971,0.79862
566.98,5.0774,0.24967,0.78042
568.91,4.9837,0.21709,0.76993
570.84,4.7543,0.18274,0.77297
572.76,4.4763,0.1532,0.78942
574.69,4.1934,0.12996,0.81729
576.62,3.9239,0.11224,0.85442
578.55,3.6738,0.098765,0.89876
580.48,3.444,0.08844,0.94824
582.41,3.2332,0.080424,1.0006
584.33,3.0392,0.074117,1.0531
586.26,2.8601,0.069092,1.103
588.19,2.6937,0.065048,1.1473
590.12,2.5384,0.061766,1.1834
592.05,2.3926,0.059089,1.2096
593.98,2.255,0.056897,1.2253
595.91,2.1245,0.055099,1.2317
597.83,2.0002,0.053622,1.2319
599.76,1.8813,0.052406,1.2307
601.69,1.7674,0.051401,1.2342
603.62,1.6578,0.050567,1.2503
605.55,1.5522,0.049875,1.2881
607.48,1.4503,0.049311,1.358
609.41,1.3518,0.048868,1.4715
611.33,1.2566,0.048548,1.6395
613.26,1.1647,0.048355,1.8665
615.19,1.0763,0.048291,2.1387
617.12,0.99196,0.048359,2.4113
619.05,0.91236,0.048559,2.6176
620.98,0.83844,0.048893,2.7106
622.9,0.77112,0.049363,2.6921
624.83,0.71106,0.049973,2.5957
626.76,0.65853,0.050729,2.457
628.69,0.61332,0.051636,2.3005
630.62,0.57488,0.052703,2.1399
