wavenumber,k1,k2,k3
1596.8,0.0078775,0.01493,0.012747
1598.7,0.0078159,0.014817,0.012658
1600.7,0.007755,0.014704,0.012569
1602.6,0.0076949,0.014593,0.012481
1604.5,0.0076355,0.014484,0.012394
1606.4,0.0075767,0.014375,0.012308
1608.4,0.0075186,0.014268,0.012223
1610.3,0.0074613,0.014162,0.012138
1612.2,0.0074045,0.014057,0.012055
1614.2,0.0073484,0.013954,0.011972
1616.1,0.007293,0.013851,0.011891
1618,0.0072382,0.01375,0.01181
1619.9,0.007184,0.01365,0.011729
1621.9,0.0071304,0.013551,0.01165
1623.8,0.0070774,0.013453,0.011571
1625.7,0.007025,0.013356,0.011494
1627.7,0.0069732,0.01326,0.011417
1629.6,0.006922,0.013165,0.01134
1631.5,0.0068713,0.013071,0.011265
1633.4,0.0068212,0.012978,0.01119
1635.4,0.0067716,0.012887,0.011116
1637.3,0.0067226,0.012796,0.011043
1639.2,0.0066741,0.012706,0.01097
1641.2,0.0066262,0.012617,0.010898
1643.1,0.0065787,0.012529,0.010827
1645,0.0065318,0.012442,0.010756
1646.9,0.0064853,0.012356,0.010686
1648.9,0.0064394,0.012271,0.010617
1650.8,0.0063939,0.012186,0.010549
1652.7,0.006349,0.012103,0.010481
1654.7,0.0063045,0.01202,0.010413
1656.6,0.0062604,0.011938,0.010347
1658.5,0.0062168,0.011857,0.010281
1660.4,0.0061737,0.011777,0.010215
1662.4,0.006131,0.011698,0.01015
1664.3,0.0060888,0.01162,0.010086
1666.2,0.006047,0.011542,0.010023
1668.2,0.0060057,0.011465,0.0099597
1670.1,0.0059647,0.011389,0.0098973
1672,0.0059242,0.011313,0.0098354
1673.9,0.005884,0.011239,0.0097741
1675.9,0.0058443,0.011165,0.0097134
1677.8,0.005805,0.011092,0.0096532
1679.7,0.0057661,0.011019,0.0095936
1681.7,0.0057276,0.010948,0.0095345
1683.6,0.0056894,0.010877,0.009476
1685.5,0.0056516,0.010806,0.009418
1687.4,0.0056142,0.010737,0.0093605
1689.4,0.0055772,0.010668,0.0093034
1691.3,0.0055406,0.010599,0.009247
1693.2,0.0055042,0.010531,0.009191
1695.1,0.0054683,0.010464,0.0091355
1697.1,0.0054327,0.010398,0.0090805
1699,0.0053974,0.010332,0.009026
1700.9,0.0053625,0.010267,0.0089719
1702.9,0.0053279,0.010203,0.0089184
1704.8,0.0052937,0.010139,0.0088653
1706.7,0.0052598,0.010075,0.0088127
1708.6,0.0052261,0.010013,0.0087605
1710.6,0.0051929,0.0099505,0.0087088
1712.5,0.0051599,0.0098889,0.0086575
1714.4,0.0051272,0.0098279,0.0086067
1716.4,0.0050949,0.0097674,0.0085562
1718.3,0.0050628,0.0097076,0.0085063
1720.2,0.0050311,0.0096482,0.0084568
1722.1,0.0049996,0.0095894,0.0084076
1724.1,0.0049685,0.0095311,0.0083589
1726,0.0049376,0.0094734,0.0083106
1727.9,0.004907,0.0094162,0.0082627
1729.9,0.0048767,0.0093594,0.0082152
1731.8,0.0048467,0.0093032,0.0081682
1733.7,0.0048169,0.0092475,0.0081215
1735.6,0.0047874,0.0091923,0.0080752
1737.6,0.0047582,0.0091376,0.0080293
1739.5,0.0047292,0.0090833,0.0079837
1741.4,0.0047006,0.0090296,0.0079386
1743.4,0.0046721,0.0089763,0.0078938
1745.3,0.0046439,0.0089235,0.0078494
1747.2,0.004616,0.0088711,0.0078053
1749.1,0.0045883,0.0088192,0.0077616
1751.1,0.0045609,0.0087678,0.0077183
1753,0.0045337,0.0087168,0.0076753
1754.9,0.0045067,0.0086662,0.0076327
1756.9,0.00448,0.0086161,0.0075904
1758.8,0.0044535,0.0085664,0.0075484
1760.7,0.0044272,0.0085171,0.0075068
1762.6,0.0044012,0.0084683,0.0074655
1764.6,0.0043754,0.0084198,0.0074246
1766.5,0.0043498,0.0083718,0.007384
1768.4,0.0043245,0.0083241,0.0073437
1770.4,0.0042993,0.0082769,0.0073037
1772.3,0.0042744,0.0082301,0.007264
1774.2,0.0042497,0.0081837,0.0072247
1776.1,0.0042252,0.0081376,0.0071857
1778.1,0.0042009,0.0080919,0.0071469
1780,0.0041768,0.0080466,0.0071085
1781.9,0.0041529,0.0080017,0.0070704
1783.9,0.0041292,0.0079572,0.0070326
1785.8,0.0041058,0.007913,0.006995
1787.7,0.0040825,0.0078692,0.0069578
1789.6,0.0040594,0.0078257,0.0069208
1791.6,0.0040365,0.0077826,0.0068842
1793.5,0.0040137,0.0077399,0.0068478
1795.4,0.0039912,0.0076975,0.0068117
1797.4,0.0039689,0.0076554,0.0067759
1799.3,0.0039467,0.0076137,0.0067403
1801.2,0.0039248,0.0075723,0.006705
1803.1,0.003903,0.0075312,0.00667
1805.1,0.0038813,0.0074905,0.0066353
1807,0.0038599,0.0074501,0.0066008
1808.9,0.0038386,0.00741,0.0065665
1810.9,0.0038175,0.0073702,0.0065326
1812.8,0.0037966,0.0073308,0.0064989
1814.7,0.0037758,0.0072916,0.0064654
1816.6,0.0037553,0.0072528,0.0064322
1818.6,0.0037348,0.0072143,0.0063992
1820.5,0.0037146,0.007176,0.0063665
1822.4,0.0036945,0.0071381,0.006334
1824.4,0.0036745,0.0071005,0.0063018
1826.3,0.0036547,0.0070631,0.0062698
1828.2,0.0036351,0.0070261,0.006238
1830.1,0.0036156,0.0069893,0.0062065
1832.1,0.0035963,0.0069528,0.0061752
1834,0.0035771,0.0069166,0.0061441
1835.9,0.0035581,0.0068806,0.0061133
1837.9,0.0035392,0.006845,0.0060827
1839.8,0.0035205,0.0068096,0.0060523
1841.7,0.0035019,0.0067745,0.0060221
1843.6,0.0034835,0.0067396,0.0059921
1845.6,0.0034652,0.006705,0.0059624
1847.5,0.003447,0.0066707,0.0059329
1849.4,0.003429,0.0066366,0.0059036
1851.4,0.0034111,0.0066028,0.0058745
1853.3,0.0033934,0.0065692,0.0058455
1855.2,0.0033758,0.0065359,0.0058169
1857.1,0.0033583,0.0065028,0.0057884
1859.1,0.003341,0.00647,0.0057601
1861,0.0033238,0.0064374,0.005732
1862.9,0.0033067,0.0064051,0.0057041
1864.9,0.0032897,0.006373,0.0056764
1866.8,0.0032729,0.0063411,0.0056489
1868.7,0.0032562,0.0063095,0.0056216
1870.6,0.0032396,0.0062781,0.0055945
1872.6,0.0032232,0.0062469,0.0055676
1874.5,0.0032068,0.0062159,0.0055408
1876.4,0.0031906,0.0061852,0.0055143
1878.4,0.0031745,0.0061547,0.0054879
1880.3,0.0031585,0.0061244,0.0054617
1882.2,0.0031427,0.0060944,0.0054357
1884.1,0.0031269,0.0060645,0.0054099
1886.1,0.0031113,0.0060349,0.0053842
1888,0.0030958,0.0060054,0.0053588
1889.9,0.0030804,0.0059762,0.0053335
1891.9,0.0030651,0.0059472,0.0053083
1893.8,0.0030499,0.0059184,0.0052834
1895.7,0.0030349,0.0058898,0.0052586
1897.6,0.0030199,0.0058614,0.005234
1899.6,0.003005,0.0058332,0.0052095
1901.5,0.0029903,0.0058052,0.0051852
1903.4,0.0029757,0.0057774,0.0051611
1905.4,0.0029611,0.0057498,0.0051371
1907.3,0.0029467,0.0057223,0.0051133
1909.2,0.0029324,0.0056951,0.0050897
1911.1,0.0029181,0.0056681,0.0050662
1913.1,0.002904,0.0056412,0.0050429
1915,0.00289,0.0056145,0.0050197
1916.9,0.002876,0.0055881,0.0049967
1918.9,0.0028622,0.0055618,0.0049738
1920.8,0.0028485,0.0055356,0.0049511
1922.7,0.0028348,0.0055097,0.0049285
1924.6,0.0028213,0.0054839,0.0049061
1926.6,0.0028078,0.0054583,0.0048838
1928.5,0.0027944,0.0054329,0.0048617
1930.4,0.0027812,0.0054077,0.0048397
1932.4,0.002768,0.0053826,0.0048179
1934.3,0.0027549,0.0053577,0.0047962
1936.2,0.0027419,0.0053329,0.0047746
1938.1,0.002729,0.0053083,0.0047532
1940.1,0.0027162,0.0052839,0.0047319
1942,0.0027035,0.0052597,0.0047108
1943.9,0.0026908,0.0052356,0.0046898
1945.9,0.0026782,0.0052117,0.0046689
1947.8,0.0026658,0.0051879,0.0046481
1949.7,0.0026534,0.0051643,0.0046275
1951.6,0.0026411,0.0051408,0.0046071
1953.6,0.0026288,0.0051175,0.0045867
1955.5,0.0026167,0.0050944,0.0045665
1957.4,0.0026046,0.0050714,0.0045464
1959.4,0.0025927,0.0050486,0.0045264
1961.3,0.0025808,0.0050259,0.0045066
1963.2,0.0025689,0.0050033,0.0044869
1965.1,0.0025572,0.0049809,0.0044673
1967.1,0.0025455,0.0049587,0.0044479
1969,0.0025339,0.0049365,0.0044285
1970.9,0.0025224,0.0049146,0.0044093
1972.9,0.002511,0.0048927,0.0043902
1974.8,0.0024996,0.0048711,0.0043712
1976.7,0.0024883,0.0048495,0.0043523
1978.6,0.0024771,0.0048281,0.0043336
1980.6,0.002466,0.0048068,0.004315
1982.5,0.0024549,0.0047857,0.0042964
1984.4,0.0024439,0.0047647,0.004278
1986.4,0.002433,0.0047438,0.0042598
1988.3,0.0024221,0.0047231,0.0042416
1990.2,0.0024113,0.0047025,0.0042235
1992.1,0.0024006,0.004682,0.0042055
1994.1,0.00239,0.0046617,0.0041877
1996,0.0023794,0.0046414,0.00417
1997.9,0.0023689,0.0046213,0.0041523
1999.9,0.0023584,0.0046014,0.0041348
